system:index,CD_GEOCMU,NM_MUNICIP,sum,.geo
00007d679b1d5d6973d0,3155207,RIO ESPERA,2.3858923691250002E8,
00008bdd271733f4a9b6,3133907,ITAVERAVA,2.8419668453792894E8,
0000efdb20e0ef60ca7c,3159100,SANTANA DOS MONTES,1.9652416834638488E8,
0000612e3ba17bd283ce,3112208,CAPELA NOVA,1.1103727153688721E8,
00005d70b9327ad53a82,3157203,SANTA BÁRBARA,6.839373037943017E8,
000041c54530a4c3f61f,3115359,CATAS ALTAS,2.400635579355391E8,
0000cf58dccac8f3f29b,3154804,RIO ACIMA,2.2972537907150733E8,
0000656f81c18a799f39,3110004,CAETÉ,5.425174267098037E8,
0000853b7f06ce8ae5a9,3144805,NOVA LIMA,4.289328160458336E8,
000077b89364ac42a1c2,3153905,RAPOSOS,7.221998972303924E7,
0000672671516b6a5392,3105400,BARÃO DE COCAIS,3.405347370526345E8,
0000b50139276702d1ad,3156700,SABARÁ,3.0233722362640935E8,
0000f3573cf819acc173,3157807,SANTA LUZIA,2.3503758326109058E8,
0000219b9555abb38070,3102308,ALVINÓPOLIS,5.994151534954666E8,
000023cb9531ca29b59a,3161908,SÃO GONÇALO DO RIO ABAIXO,3.63783657710233E8,
00007f0e1ac9db3a1041,3155702,RIO PIRACICABA,3.729333455182593E8,
00006059261e9c54576d,3105707,BARRA LONGA,3.835989606336396E8,
0000bc0c7c57166bd4e5,3100401,ACAIACA,1.018419954935662E8,
000024745b3a51a7c8ec,3152105,PONTE NOVA,4.7054050486942405E8,
0000c50aba0792ac22d6,3157401,SANTA CRUZ DO ESCALVADO,2.586916618096814E8,
0000e0e38128b58bdbf3,3102506,AMPARO DO SERRA,1.3620135369957107E8,
0000a5f2a4f380a60b6e,3145851,ORATÓRIOS,8.903813600980389E7,
000079616eaa8ce8b695,3135506,JEQUERI,5.478924497349263E8,
00001ea6f5dd423df364,3170503,URUCÂNIA,1.3874216164901957E8,
000071470492e5f8a1f1,3155009,RIO DOCE,1.1211899321930149E8,
0000e82863c9d41ba6be,3150208,PIEDADE DE PONTE NOVA,8.370556142297788E7,
0000ece25915ecaa04d5,3160108,SANTO ANTÔNIO DO GRAMA,1.3014840991090688E8,
00009496bda3a1f07bfd,3100302,ABRE CAMPO,4.704826910167278E8,
0000785f22046c71d872,3154903,RIO CASCA,3.8431718154178935E8,
00003e7fb6ddcbe4042e,3164001,SÃO PEDRO DOS FERROS,4.027326787657474E8,
00009ce07c994bfde3f7,3165560,SEM-PEIXE,1.7658711052310053E8,
00003061c48954641a23,3161007,SÃO DOMINGOS DO PRATA,7.437423081286759E8,
000064f6804ac6170a7b,3122702,DOM SILVÉRIO,1.9494720322555128E8,
00000c41f1bf44d1e57a,3136207,JOÃO MONLEVADE,9.9188623600674E7,
0000ffa5e4a784a89a1c,3106002,BELA VISTA DE MINAS,1.0911052887316184E8,
000080a590f026347315,3144706,NOVA ERA,3.619309995221815E8,
0000a56e894826ea6c95,3131703,ITABIRA,1.253505600154473E9,
0000d281f8b1899514f4,3103009,ANTÔNIO DIAS,7.869028858386033E8,
00003e7ee1b05fdbe0e4,3121803,DIONÍSIO,3.393308578206492E8,
0000d6c5069fde6667fa,3163409,SÃO JOSÉ DO GOIABAL,1.8953671459338245E8,
0000a9bf8f9ad994fc6e,3154002,RAUL SOARES,7.632074144063718E8,
00005e37206d80aa2d7e,3120003,CÓRREGO NOVO,2.0532918637849277E8,
0000285b115bb862a8c7,3140308,MARLIÉRIA,5.458313663489586E8,
00006346b5d384fb5501,3135001,JAGUARAÇU,1.6371476918284318E8,
000027497ada4c5c66ca,3168705,TIMÓTEO,1.4432009797212014E8,
000093210b6899a4af7d,3119401,CORONEL FABRICIANO,2.2125333649424016E8,
00002e8825bd3a7424b2,3131307,IPATINGA,1.648060764810048E8,
00000724d598397c5677,3125903,FERROS,1.0886347003438108E9,
00005581a5519d4b33d0,3158003,SANTA MARIA DE ITABIRA,5.974521322925241E8,
000058a8de69f225e427,3147501,PASSABÉM,9.417873018376222E7,
0000ae432f58c7df2b6c,3164803,SÃO SEBASTIÃO DO RIO PRETO,1.279448193678308E8,
0000db7caa9e155f626f,3160504,SANTO ANTÔNIO DO RIO ABAIXO,1.0725522082806368E8,
0000e5c7256eb517da0b,3132800,ITAMBÉ DO MATO DENTRO,3.803526504003676E8,
